% Star Wars Minifigures dataset
@RELATION minifigs

@ATTRIBUTE ID STRING
@ATTRIBUTE Sets NUMERIC
@ATTRIBUTE "Value, €" NUMERIC
@ATTRIBUTE "Growth, %" NUMERIC
@ATTRIBUTE Year STRING
@ATTRIBUTE Released STRING
@ATTRIBUTE Subtheme STRING
@ATTRIBUTE Name STRING

@DATA
sw1211,1,5.30,?,2022,'march 2022','the book of boba fett',bd-72
sw1210,1,6.16,?,2022,'march 2022','the book of boba fett','peli motto'
sw1209,2,14.70,?,'2022 - 2024','may 2022','ultimate collector series',c-3po
sw1208,1,24.61,209.75,2022,'may 2022',promotional,'aunt beru whitesun lars'
sw1207,1,9.77,13.27,2022,'april 2022','the clone wars','clone trooper 187th legion'
sw1206,1,8.50,131.65,2022,'april 2022','the clone wars','clone trooper commander 187th legion'
sw1205,1,4.29,28.50,2022,'april 2022','the clone wars','mace windu'
sw1204,1,7.60,36.06,2022,'april 2022','diorama collection','han solo'
sw1203,1,7.31,44.52,2022,'april 2022','diorama collection','luke skywalker'
sw1202,5,2.60,?,'2022 - 2024','april 2022','diorama collection',r2-d2
sw1201,3,3.87,?,'2022 - 2023','april 2022','diorama collection',c-3po
sw1200,1,6.10,47.76,2022,'april 2022','diorama collection',r2-d2
sw1199,1,5.77,118.67,2022,'april 2022','diorama collection','luke skywalker dagobah'
sw1198,1,34.88,161.13,2021,'may 2021','episode iv','luke skywalker tatooine with blue milk'
sw1197,1,3.20,20.93,2022,'march 2022','the book of boba fett','weequay guard'
sw1196,1,9.99,47.40,2022,'march 2022','the book of boba fett','gamorrean guard'
sw1195,1,8.56,62.44,2022,'march 2022','the book of boba fett',quarren
sw1194,1,4.01,11.49,2022,'march 2022','the book of boba fett','theelin dancer'
sw1193,1,5.27,18.15,2022,'march 2022','the book of boba fett','bib fortuna'
sw1192,1,4.14,32.02,2022,'march 2022','the book of boba fett','fennec shand'
sw1191,1,4.00,28.25,2022,'march 2022','the mandalorian','luke skywalker,'
sw1190,1,3.53,25.71,2022,'january 2022','episode v','imperial probe droid'
sw1189,1,8.47,78.33,2022,?,'episode ii','clone trooper'
sw1188,1,3.19,3.71,2022,?,'episode v','hoth rebel trooper'
sw1187,1,3.30,7.14,2022,?,'episode v','hoth rebel trooper'
sw1186,1,3.34,8.57,2022,?,'episode v','hoth rebel trooper'
sw1185,1,3.22,78.54,2022,'january 2022','episode v','hoth rebel trooper'
sw1184,1,4.82,22.05,2022,'january 2022','episode v',chewbacca
